EPHB3,FYN
PSAT1,TIMP2
PSAT1,TNIK
SLC6A3,TGFB1I1
HSPB2,TGFB1I1
GATM,CYP2E1
GLP1R,NOTCH2NL
GLP1R,CFI
GLP1R,MYL6
SLIRP,RFX5
PLEKHF2,S100A13
PLEKHF2,FHL3
PLEKHF2,TRAPPC3
GRSF1,MRPS7
TRIM29,FXR2
TRIM29,PRKCA
PIK3C2A,ATG7
ELN,NID2
ELN,LGALS3
PEX5,ACOX1
PEX5,GNPAT
PEX5,HMGCL
S100A13,FGF1
KRT8,ANXA1
KRT8,QRSL1
ACAA2,P4HB
THY1,FYN
FGF7,FGFR2
EPHA4,FYN
EPHA4,FGFR2
FHL3,SRF
FKBP9,EZR
MCM7,MCM2
NOTCH2NL,TMEM231
ANK2,TNIK
NEFM,TNIK
EIF1B,NUDCD2
EIF1B,TAGLN2
EIF1B,MYL6
LTBP2,FYN
TPM2,RRAD
KCNN3,RAB5A
SF1,WDR83
AGTRAP,TBRG4
PRKCA,EZR
PRKCA,AKAP12
PRKCA,RRAD
TFDP2,E2F6
MAL2,TBRG4
NEDD9,FYN
FGF1,FGFR2
ANXA5,ANXA1
FGFR2,FYN
RAB5A,TNF
TNF,FYN
